,num_Bdimensions,num_Cdimensions,num_Ndimensions,num_Idimensions,num_Odimensions,num_samples,model,accuracy
0,0,64,0,64,10,1797,Decision Tree - Depth 1,0.7388888888888889
1,0,64,0,64,10,1797,Decision Tree - Depth 5,0.9537037037037037
2,0,64,0,64,10,1797,Decision Tree - Depth 10,0.9203703703703704
3,0,64,0,64,10,1797,Random Forest Classifier - Depth 1,0.8648148148148148
4,0,64,0,64,10,1797,Random Forest Classifier - Depth 5,0.9666666666666667
5,0,64,0,64,10,1797,Random Forest Classifier - Depth 10,0.9722222222222222
6,0,64,0,64,10,1797,Stochastic Gradient Descent,0.9537037037037037
7,0,64,0,64,10,1797,SVC,0.07592592592592592
8,0,64,0,64,10,1797,Extra Tree Classifier,0.8148148148148148
9,0,64,0,64,10,1797,Extra Trees Classifier,0.9925925925925926
10,0,64,0,64,10,1797,Gradient Boosting Classifier,0.9518518518518518
11,0,0,30,30,2,569,Decision Tree - Depth 1,0.9590643274853801
12,0,0,30,30,2,569,Decision Tree - Depth 5,0.9239766081871345
13,0,0,30,30,2,569,Decision Tree - Depth 10,0.9122807017543859
14,0,0,30,30,2,569,Random Forest Classifier - Depth 1,0.935672514619883
15,0,0,30,30,2,569,Random Forest Classifier - Depth 5,0.9473684210526315
16,0,0,30,30,2,569,Random Forest Classifier - Depth 10,0.9707602339181286
17,0,0,30,30,2,569,Stochastic Gradient Descent,0.9064327485380117
18,0,0,30,30,2,569,SVC,0.672514619883041
19,0,0,30,30,2,569,Extra Tree Classifier,0.9239766081871345
20,0,0,30,30,2,569,Extra Trees Classifier,0.9590643274853801
21,0,0,30,30,2,569,Gradient Boosting Classifier,0.9649122807017544
22,1,1,3,5,2,714,Decision Tree - Depth 1,0.7953488372093023
23,1,1,3,5,2,714,Decision Tree - Depth 5,0.8
24,1,1,3,5,2,714,Decision Tree - Depth 10,0.7581395348837209
25,1,1,3,5,2,714,Random Forest Classifier - Depth 1,0.827906976744186
26,1,1,3,5,2,714,Random Forest Classifier - Depth 5,0.8186046511627907
27,1,1,3,5,2,714,Random Forest Classifier - Depth 10,0.8
28,1,1,3,5,2,714,Stochastic Gradient Descent,0.8093023255813954
29,1,1,3,5,2,714,SVC,0.6
30,1,1,3,5,2,714,Extra Tree Classifier,0.7023255813953488
31,1,1,3,5,2,714,Extra Trees Classifier,0.7906976744186046
32,1,1,3,5,2,714,Gradient Boosting Classifier,0.813953488372093
33,0,0,4,4,2,1372,Decision Tree - Depth 1,0.9514563106796117
34,0,0,4,4,2,1372,Decision Tree - Depth 5,0.9927184466019418
35,0,0,4,4,2,1372,Decision Tree - Depth 10,0.9951456310679612
36,0,0,4,4,2,1372,Random Forest Classifier - Depth 1,0.9490291262135923
37,0,0,4,4,2,1372,Random Forest Classifier - Depth 5,0.9805825242718447
38,0,0,4,4,2,1372,Random Forest Classifier - Depth 10,0.9902912621359223
39,0,0,4,4,2,1372,Stochastic Gradient Descent,0.9927184466019418
40,0,0,4,4,2,1372,SVC,0.5703883495145631
41,0,0,4,4,2,1372,Extra Tree Classifier,0.9902912621359223
42,0,0,4,4,2,1372,Extra Trees Classifier,1.0
43,0,0,4,4,2,1372,Gradient Boosting Classifier,0.9878640776699029
44,4,18,0,22,2,8124,Decision Tree - Depth 1,0.9864643150123051
45,4,18,0,22,2,8124,Decision Tree - Depth 5,1.0
46,4,18,0,22,2,8124,Decision Tree - Depth 10,1.0
47,4,18,0,22,2,8124,Random Forest Classifier - Depth 1,0.9232977850697293
48,4,18,0,22,2,8124,Random Forest Classifier - Depth 5,1.0
49,4,18,0,22,2,8124,Random Forest Classifier - Depth 10,1.0
50,4,18,0,22,2,8124,Stochastic Gradient Descent,0.8933552091878589
51,4,18,0,22,2,8124,SVC,0.5114848236259228
52,4,18,0,22,2,8124,Extra Tree Classifier,0.9995898277276456
53,4,18,0,22,2,8124,Extra Trees Classifier,1.0
54,4,18,0,22,2,8124,Gradient Boosting Classifier,0.9971287940935193
55,0,0,9,9,6,214,Decision Tree - Depth 1,0.38461538461538464
56,0,0,9,9,6,214,Decision Tree - Depth 5,0.676923076923077
57,0,0,9,9,6,214,Decision Tree - Depth 10,0.7076923076923077
58,0,0,9,9,6,214,Random Forest Classifier - Depth 1,0.5384615384615384
59,0,0,9,9,6,214,Random Forest Classifier - Depth 5,0.7538461538461538
60,0,0,9,9,6,214,Random Forest Classifier - Depth 10,0.7846153846153846
61,0,0,9,9,6,214,Stochastic Gradient Descent,0.46153846153846156
62,0,0,9,9,6,214,SVC,0.36923076923076925
63,0,0,9,9,6,214,Extra Tree Classifier,0.7384615384615385
64,0,0,9,9,6,214,Extra Trees Classifier,0.7384615384615385
65,0,0,9,9,6,214,Gradient Boosting Classifier,0.6923076923076923
66,0,0,33,33,2,4687,Decision Tree - Depth 1,0.9950248756218906
67,0,0,33,33,2,4687,Decision Tree - Depth 5,0.9936034115138592
68,0,0,33,33,2,4687,Decision Tree - Depth 10,0.9964463397299218
69,0,0,33,33,2,4687,Random Forest Classifier - Depth 1,0.9900497512437811
70,0,0,33,33,2,4687,Random Forest Classifier - Depth 5,0.9971570717839374
71,0,0,33,33,2,4687,Random Forest Classifier - Depth 10,0.9971570717839374
72,0,0,33,33,2,4687,Stochastic Gradient Descent,0.8393745557924662
73,0,0,33,33,2,4687,SVC,0.8393745557924662
74,0,0,33,33,2,4687,Extra Tree Classifier,0.914001421464108
75,0,0,33,33,2,4687,Extra Trees Classifier,0.9772565742714996
76,0,0,33,33,2,4687,Gradient Boosting Classifier,0.9964463397299218
77,0,0,11,11,6,1599,Decision Tree - Depth 1,0.525
78,0,0,11,11,6,1599,Decision Tree - Depth 5,0.6166666666666667
79,0,0,11,11,6,1599,Decision Tree - Depth 10,0.65
80,0,0,11,11,6,1599,Random Forest Classifier - Depth 1,0.5375
81,0,0,11,11,6,1599,Random Forest Classifier - Depth 5,0.6541666666666667
82,0,0,11,11,6,1599,Random Forest Classifier - Depth 10,0.725
83,0,0,11,11,6,1599,Stochastic Gradient Descent,0.5229166666666667
84,0,0,11,11,6,1599,SVC,0.41875
85,0,0,11,11,6,1599,Extra Tree Classifier,0.575
86,0,0,11,11,6,1599,Extra Trees Classifier,0.675
87,0,0,11,11,6,1599,Gradient Boosting Classifier,0.6833333333333333
88,4,0,9,13,2,303,Decision Tree - Depth 1,0.8791208791208791
89,4,0,9,13,2,303,Decision Tree - Depth 5,0.6703296703296703
90,4,0,9,13,2,303,Decision Tree - Depth 10,0.7582417582417582
91,4,0,9,13,2,303,Random Forest Classifier - Depth 1,0.9010989010989011
92,4,0,9,13,2,303,Random Forest Classifier - Depth 5,0.7362637362637363
93,4,0,9,13,2,303,Random Forest Classifier - Depth 10,0.7912087912087912
94,4,0,9,13,2,303,Stochastic Gradient Descent,0.6153846153846154
95,4,0,9,13,2,303,SVC,0.5274725274725275
96,4,0,9,13,2,303,Extra Tree Classifier,0.7692307692307693
97,4,0,9,13,2,303,Extra Trees Classifier,0.8241758241758241
98,4,0,9,13,2,303,Gradient Boosting Classifier,0.7582417582417582
